,y_ret,y_ret,y_ret,y_orc,y_orc,y_orc
,2019-21,2022-23,2024-26,2019-21,2022-23,2024-26
h1_mom_96,0.03620685282406355,0.024351135146111424,-0.01728755272048843,0.04752826883261663,0.04401866001351418,0.019981860034606003
h1_nret_1,0.004518255147097472,0.023038242547472554,0.0035590898544644034,0.01925618374371363,0.01733891227887796,-0.004699125177540453
h1_nret_126,0.03241877157693229,0.035093074767079235,0.000742139204337855,0.049071049699555225,0.04777436209683206,0.025560860327846102
h1_nret_21,0.00798624742493359,-0.0005687753995121114,0.0008686365933427975,0.041063952030422124,0.020776560013266776,-0.00960376636766097
h1_nret_252,0.006888157854633481,0.04416409053381387,-0.03526273634829369,0.00806587905167333,0.014941438397699125,-0.022804837902732356
h1_nret_5,0.030243624560366777,0.025684734776324047,-0.022372715975221724,0.0350942070619058,0.025066271635739934,-0.013743379625582697
h1_nret_63,0.02087498634051177,-0.005443277428801241,-0.011824327545601032,0.0457338331751489,0.02319507250896613,0.037675455808477754
h1_obv_slope_20,-0.006660771164112178,-0.0034500586476571837,0.0007144877650326897,0.02969953412288029,0.003190753405161617,0.010692412274420637
h1_obv_slope_60,0.018471675280576028,-0.006944871202263614,0.005807755751976118,0.03622795072262264,0.0020190882111978947,0.05560463554850448
h1_rel_mom_252,-0.00973384076773498,0.01362389083787341,-0.004101312330952789,-0.012285624697735475,0.010982156779755448,0.003424646918530727
h1_rel_mom_63,-0.0008509355231685611,-0.007060763782199442,-0.004351128782605684,-0.0124759416738352,0.009392503817889808,0.0028570755474381926
h1_rsi_14,0.026573269494619134,0.0043217578800275325,-0.014520342877847425,0.06534606427474787,0.01791747417819456,0.016169429508627653
h1_rsi_56,0.027381202925356507,0.019640953431889874,-0.010274893446608868,0.05219135773077732,0.03290748702412516,0.03224989507214138
h1_ru_12,0.019858987039996,0.04789603199837544,-0.022094135670038872,0.03299516908212552,0.02274521742789326,-0.010409401536131457
h1_ru_192,0.022225519287833784,0.012893133013955227,-0.015093077287362033,0.05489409141583057,0.04490568512866966,0.038088192717603664
h1_ru_24,0.006818838925663817,0.03716110604939227,-0.008601186787061676,0.03535541752933058,0.03568149022694478,-0.005242053225857468
h1_ru_384,0.0211125840820936,0.018666387010412233,-0.006122410061309869,0.0340683965485199,0.0376133300661603,0.022516247544192125
h1_ru_48,-0.006677318724796488,0.030381891099717118,-0.014760942183065229,0.0392482879439402,0.034675968209415875,0.015433849572198177
h1_ru_6,0.021623170762636645,0.03782974277858975,-0.008223283783225455,0.023988957902001395,0.018041230734198166,-0.009120199279237018
h1_ru_96,-0.006040477820893231,0.02052334016442714,-0.02666409222231758,0.05039231300100866,0.04708008781765216,0.03919295752731067
h1_since_hi_12,-0.006219620286464722,-0.0031805332528208052,-0.0026985579933318515,-0.007726174718204082,-0.005191587524349117,-0.005907422940794604
h1_since_hi_192,-0.010674889233608043,-0.03501859625029058,0.03223013625485083,-0.006484948449234196,-0.018722819966387694,0.004743452160645978
h1_since_hi_24,-0.017887605683966024,-0.0059369063427642255,0.004648143380658554,-0.023303643322022338,-0.008485368262383719,0.005537773099162924
h1_since_hi_384,-0.014879052715994823,0.006980607530946981,0.02645432268276171,-0.004092085171928661,-0.0008068927451431729,0.027741406919845057
h1_since_hi_48,-0.00011661155653408528,0.016982103780970315,0.0035253995950812467,-0.018054193264409324,0.007403735962912661,-0.016511491227907016
h1_since_hi_6,-0.0022740518291571865,0.001390376974849672,0.004034885310093328,-0.00419876647843237,-0.000244419198106971,0.00037476449352857877
h1_since_hi_96,-0.01996005358566627,-0.009207949362624257,0.003481697607673806,-0.014997899690931848,-0.0337870867459204,-0.020845616247358256
h1_since_lo_12,0.003264364722500024,0.003345187552268536,-0.008366785218239803,0.01781850366998583,0.008307468213128555,0.0009933273941374887
h1_since_lo_192,0.023630755036448958,-0.0037399570896868295,-0.0051736796437731325,0.017924763460477777,0.02245810221796507,0.02201222184818108
h1_since_lo_24,-0.009257085733018755,-0.01659534986867739,0.0165802161897588,0.005680357295902327,0.011053626190847488,0.013217965385275865
h1_since_lo_384,0.0167287053403381,0.005210490315788907,0.006083475563437801,0.0004091817382834151,0.009798425321581483,0.008378109785847965
